Username,Emotion,Date,Time
aa,Happy User,2024-05-21,22:28:52
aa,User is Uncomfortable,2024-05-21,22:28:58
aa,User is Uncomfortable,2024-05-21,22:28:58
aa,User under pressure,2024-05-21,22:28:58
aa,Happy User,2024-05-21,22:28:58
aa,User is Uncomfortable,2024-05-21,22:29:00
aa,User is Uncomfortable,2024-05-21,22:29:00
aa,User under pressure,2024-05-21,22:29:00
aa,Happy User,2024-05-21,22:29:00
aa,User is Uncomfortable,2024-05-21,22:42:29
aa,User is Uncomfortable,2024-05-21,22:42:29
aa,User under pressure,2024-05-21,22:42:29
aa,Happy User,2024-05-21,22:42:29
aa,User is Uncomfortable,2024-05-21,22:42:32
aa,User is Uncomfortable,2024-05-21,22:42:32
aa,User under pressure,2024-05-21,22:42:32
aa,Happy User,2024-05-21,22:42:32
aa,User is Uncomfortable,2024-05-21,22:49:41
aa,User is Uncomfortable,2024-05-21,22:49:41
aa,User under pressure,2024-05-21,22:49:41
aa,Happy User,2024-05-21,22:49:41
aa,User is Uncomfortable,2024-05-21,22:49:57
aa,User is Uncomfortable,2024-05-21,22:49:57
aa,User under pressure,2024-05-21,22:49:57
aa,Happy User,2024-05-21,22:49:57
aa,User is Uncomfortable,2024-05-21,22:50:00
aa,User is Uncomfortable,2024-05-21,22:50:00
aa,User under pressure,2024-05-21,22:50:00
aa,Happy User,2024-05-21,22:50:00
aa,User is Uncomfortable,2024-05-21,22:52:02
aa,User is Uncomfortable,2024-05-21,22:52:02
aa,User under pressure,2024-05-21,22:52:02
aa,Happy User,2024-05-21,22:52:02
aa,User is Uncomfortable,2024-05-21,22:52:04
aa,User is Uncomfortable,2024-05-21,22:52:04
aa,User under pressure,2024-05-21,22:52:04
aa,Happy User,2024-05-21,22:52:04
aa,User is Uncomfortable,2024-05-21,22:52:07
aa,User is Uncomfortable,2024-05-21,22:52:07
aa,User under pressure,2024-05-21,22:52:07
aa,Happy User,2024-05-21,22:52:07
aa,User is Uncomfortable,2024-05-25,10:14:21
aa,User is Uncomfortable,2024-05-25,10:14:21
aa,User under pressure,2024-05-25,10:14:21
aa,Happy User,2024-05-25,10:14:21
aa,User is Uncomfortable,2024-05-25,10:14:25
aa,User is Uncomfortable,2024-05-25,10:14:25
aa,User under pressure,2024-05-25,10:14:25
aa,Happy User,2024-05-25,10:14:25
post,User is Uncomfortable,2024-05-29,13:02:04
post,User is Uncomfortable,2024-05-29,13:02:04
post,User under pressure,2024-05-29,13:02:04
post,Happy User,2024-05-29,13:02:04
post,User is Uncomfortable,2024-05-29,13:02:18
post,User is Uncomfortable,2024-05-29,13:02:18
post,User under pressure,2024-05-29,13:02:18
post,Happy User,2024-05-29,13:02:18
post,User is Uncomfortable,2024-05-29,13:02:33
post,User is Uncomfortable,2024-05-29,13:02:33
post,User under pressure,2024-05-29,13:02:33
post,Happy User,2024-05-29,13:02:33
post,User is Uncomfortable,2024-05-29,13:02:41
post,User is Uncomfortable,2024-05-29,13:02:41
post,User under pressure,2024-05-29,13:02:41
post,Happy User,2024-05-29,13:02:41
post,User is Uncomfortable,2024-05-29,15:28:01
post,User is Uncomfortable,2024-05-29,15:28:01
post,User under pressure,2024-05-29,15:28:01
post,Happy User,2024-05-29,15:28:01
post,User is Uncomfortable,2024-05-29,15:28:11
post,User is Uncomfortable,2024-05-29,15:28:11
post,User under pressure,2024-05-29,15:28:11
post,Happy User,2024-05-29,15:28:11
post,User is Uncomfortable,2024-05-29,15:28:30
post,User is Uncomfortable,2024-05-29,15:28:30
post,User under pressure,2024-05-29,15:28:30
post,Happy User,2024-05-29,15:28:30
aa,User is Uncomfortable,2024-05-29,15:32:38
aa,User is Uncomfortable,2024-05-29,15:32:38
aa,User under pressure,2024-05-29,15:32:38
aa,Happy User,2024-05-29,15:32:38
aa,User is Uncomfortable,2024-05-29,15:32:48
aa,User is Uncomfortable,2024-05-29,15:32:48
aa,User under pressure,2024-05-29,15:32:48
aa,Happy User,2024-05-29,15:32:48
aa,User is Uncomfortable,2024-05-29,15:32:53
aa,User is Uncomfortable,2024-05-29,15:32:53
aa,User under pressure,2024-05-29,15:32:53
aa,Happy User,2024-05-29,15:32:53
